,text,favourite_count,retweet_count,created_at
0,$NVDA #NVDA - nothing bearish on the monthly - on the daily - Signs and symptoms of exhaustion possibly starting to  https://t.co/FrhZDtavDE,0,0,2023-03-24 22:34:28+00:00
1,THIS MF GONE FALL Check out my #NVDA analysis on @TradingView: https://t.co/T6QDWVjUv2,0,0,2023-03-24 22:16:26+00:00
2,So I did said #qqq n #nvda was the only 2 I like but only got on #nvda  can anybody tell me why?,0,0,2023-03-24 20:36:26+00:00
3,You guys dont need a FURU. If you are dumb enough to be buying stocks here literally just buy every fuckin dip. You  https://t.co/ZG4jhFGl1A,2,0,2023-03-24 20:01:43+00:00
4,$NVDA from today's pre market update expect to make one more high in 5 of (5) to end ((5)) of I before a larger deg  https://t.co/p4oVQLFta4,1,0,2023-03-24 18:20:19+00:00
5,"If it needed to any clearer for any bulls left. You are going to be dancing alone with no chair, no music, and no f  https://t.co/yk8McjgG4M",1,0,2023-03-24 18:12:14+00:00
6,$NVDA seeing an uptick in chatter on 4chan over the last 24 hoursVia https://t.co/OPL1OPSJdo#nvda    #4chan  https://t.co/FyIwBrE3aR,0,0,2023-03-24 18:02:14+00:00
7,$NVDA was the 3rd most mentioned on wallstreetbets over the last 7 daysVia https://t.co/OPL1OPSJdo#nvda  https://t.co/y6ZVGe5QIi,0,0,2023-03-24 17:52:17+00:00
8,"Anyone shorting #NVDA ??? 

#stockmarket",0,0,2023-03-24 17:27:52+00:00
9,$NVDA one of the most mentioned on wallstreetbets over the last 7 daysVia https://t.co/OPL1OPSJdo#nvda  https://t.co/ESmhvrGu0m,0,0,2023-03-24 17:22:08+00:00
10,"$nvda shorts been channeling their inner Bon Jovi and livin on a prayer. 

Intraday clawing back a bit, but startin  https://t.co/FnOTb0inUS",0,0,2023-03-24 16:54:34+00:00
11,"AI Stocks: In Case You Missed It On Trump, Bard, Adobe, Nvidia
#googleparent #nvda #donaldtrump #newyorkcity #trump  https://t.co/yId9iPAXV3",0,0,2023-03-24 16:44:13+00:00
12,"Looking for #NVDA to lose 260, that will be confirmation to start my short position.",0,0,2023-03-24 16:41:57+00:00
13,$NVDA - This NVDA Bear Call Spread has Defined Risk and 15% ROI Potential  #NVDA https://t.co/DzmTGXOzvM https://t.co/OCnZLf7xQZ,0,0,2023-03-24 15:52:59+00:00
14,Don t fight the tape. If they are gonna take a stand on #Charlieschwab  today then short #AMD  another great compan  https://t.co/cbzRPX1OOk,0,0,2023-03-24 15:39:28+00:00
15,"Well well well 
#NVDA #crash https://t.co/SQIj2OxSU4",2,0,2023-03-24 15:16:19+00:00
16,#NVDA finally it is cracking a bit,0,0,2023-03-24 15:11:07+00:00
17,NVDA: Incredibly Bullish! - #NVDA chart on @TradingView https://t.co/zA5Qt9bohI,0,0,2023-03-24 14:57:32+00:00
18,@RJRCapital #NVDA is 4 th highest weighting in Nasdaq so caution as the Fed is buying large cap stocks to support t  https://t.co/bgT2Fu2G13,0,0,2023-03-24 14:56:39+00:00
19,"Thank you #NVDA for the red candle#have been shorting every day for past 3 days and taking profits 

Also want to t  https://t.co/kmMHmpM9a3",1,1,2023-03-24 14:51:26+00:00
20,#NVDA $NVDA as I said before has to finish above the 275.5 resistance. https://t.co/GZclt9kWBD,0,0,2023-03-24 14:28:12+00:00
21,#NVDA takes the cake. The Most Dark Pool Sales Below the BID that we have #everseen,0,0,2023-03-24 14:23:35+00:00
22,"#NVDA #DARKPOOL 100,000 block of #NVDA below bid. Major sales in DP.
Massive NVDA BLOCKs dumping NVDA in the #DP  https://t.co/K2ePhKpIpV",0,0,2023-03-24 13:47:41+00:00
23,"#NVDA #DARKPOOL 100,000 block of #NVDA below bid. Major sales in DP  https://t.co/q7bQQqdPfF",0,0,2023-03-24 13:46:50+00:00
24,April 21st expiration SPY. Look how much PUT ratio to call is built up there. What happens? Weirdly QQQ doesnt look  https://t.co/x6LC0xCfRy,0,0,2023-03-24 13:44:57+00:00
25,#NVIDIA Cramer says hold but don't buy new from this price point. Wait to see if #NVDA makes money to match up agai  https://t.co/wDSc3jYarQ,0,0,2023-03-24 13:44:22+00:00
26,HOUSTON WE HAVE A PROBLEM Wow Cramer now bashing #NVDA too funny.   I have been saying NVDA won t have any earnin  https://t.co/9Dq2a9eORS,0,0,2023-03-24 13:43:42+00:00
27,$nvda kiss of death. 13 count sell signal at top of rising broadening wedge. Buh. Bye. Sell now or lose your profit  https://t.co/NKqecoIuUh,14,3,2023-03-24 13:43:14+00:00
